City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
132,Kupang,ID,-10.17,123.58,87.8,48,40,16.11,scattered clouds,0.0,0
133,Nhulunbuy,AU,-12.23,136.77,80.6,69,75,16.11,broken clouds,0.0,0
134,Lompoc,US,34.64,-120.46,62.6,82,8,11.41,clear sky,0.0,0
135,San Cristobal,VE,7.77,-72.22,65.59,86,34,2.46,scattered clouds,0.0,0
136,Saint-Georges,GD,12.06,-61.75,80.6,88,20,12.75,few clouds,0.0,0
137,Makakilo City,US,21.35,-158.09,84.2,62,20,9.17,few clouds,0.0,0
138,Padang,ID,-0.95,100.35,85.24,56,38,2.15,scattered clouds,0.0,0
139,Yellowknife,CA,62.46,-114.35,64.4,63,75,17.22,shower rain,0.0,0
140,Zhuhai,CN,22.28,113.57,95.0,74,40,11.41,scattered clouds,0.0,0
141,Sakakah,SA,29.97,40.21,82.4,14,0,4.7,clear sky,0.0,0
142,Prince Rupert,CA,54.32,-130.32,55.4,87,75,4.7,broken clouds,0.0,0
143,Bambous Virieux,MU,-20.34,57.76,72.0,88,20,6.93,few clouds,0.0,0
144,Chapais,CA,49.78,-74.85,62.6,88,75,1.48,broken clouds,0.0,0
145,Vestmannaeyjar,IS,63.44,-20.27,52.52,89,100,3.29,overcast clouds,0.0,0
146,Kavaratti,IN,10.57,72.64,83.5,77,50,16.73,light rain,0.37,0
147,Abbeville,FR,50.1,1.83,57.99,82,100,11.56,overcast clouds,0.0,0
148,Adelanto,US,34.58,-117.41,81.0,33,5,14.99,clear sky,0.0,0
149,Kalakamati,BW,-20.59,27.31,48.07,47,0,3.0,clear sky,0.0,0
150,Manokwari,ID,-0.87,134.08,83.55,68,85,3.87,overcast clouds,0.0,0
151,Bonavista,CA,48.65,-53.11,52.36,97,99,1.86,overcast clouds,0.0,0
152,Oytal,KZ,42.91,73.27,63.93,32,7,6.46,clear sky,0.0,0
153,Aktau,KZ,43.65,51.2,68.0,45,45,4.47,scattered clouds,0.0,0
154,Elesbao Veloso,BR,-6.2,-42.14,78.39,57,82,2.57,broken clouds,0.0,0
155,Airai,TL,-8.93,125.41,71.8,63,60,5.01,broken clouds,0.0,0
156,Kumluca,TR,36.37,30.29,80.62,48,0,2.89,clear sky,0.0,0
157,Neyshabur,IR,36.21,58.8,66.9,27,0,5.46,clear sky,0.0,0
